"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"02100035","UPPER HALF OF REGULAR SADDLE CONNECTOR","חלק עליון -לרוכב רגיל","Active","MST","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.005978
"","","","","PLS","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.005978
"02100036","BLACK PIN FOR UNION 1/4","פין שחור לרקורד 1/4","Active","MST","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.001287
"","","","","","","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.000013
"","","","","","ALT02","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.000013
"","","","","","","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.001287
"","","","","","Primary","00005220","ACETAL F20 PM7109 BK11M","אצטל שחור F20  PM7109BK11M","Active",0.0013
"","","","","PLS","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.001287
"","","","","","","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.000013
"","","","","","Primary","00005220","ACETAL F20 PM7109 BK11M","אצטל שחור F20  PM7109BK11M","Active",0.0013
"02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active","MST","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100025","PIN FOR UNION 1/4","פין לרקורד 1/4","Active",1
"","","","","PLS","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100025","PIN FOR UNION 1/4","פין לרקורד 1/4","Active",1
"021000391","NOT ACTIVE- (REPLACED BY 02100039) UNION 1/4"" FOR B.DRINKER NOT PACKED","NOT ACTIVE-רקורד 1/4 לשוקת לא ארוז( )","Inactive","MST","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100025","PIN FOR UNION 1/4","פין לרקורד 1/4","Active",1
"","","","","PLS","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100025","PIN FOR UNION 1/4","פין לרקורד 1/4","Active",1
"02100040","NOT ACTIVE-UNION 1/4"" - GREY/BLACK FOR B.DRINKER","NOT ACTIVE-רקורד שחור/אפור 1/4","Inactive","MST","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100036","BLACK PIN FOR UNION 1/4","פין שחור לרקורד 1/4","Active",1
"","","","","PLS","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100036","BLACK PIN FOR UNION 1/4","פין שחור לרקורד 1/4","Active",1
"021000401","NOT ACTIVE-(REPLACED BY 02100040) UNION 1/4"" - GRAY/BLACK FOR B.DRINKER PACKED","NOT ACTIVE-רקורד שחור/אפור 1/4 לא ארוז ()","Inactive","MST","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100036","BLACK PIN FOR UNION 1/4","פין שחור לרקורד 1/4","Active",1
"","","","","PLS","Primary","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active",1
"","","","","","","02100036","BLACK PIN FOR UNION 1/4","פין שחור לרקורד 1/4","Active",1
"02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active","MST","Primary","00004027","PP GLASS FIBRES","PP  סיבי זכוכית  שחור","Active",0.03052
"","","","","PLS","Primary","00004027","PP GLASS FIBRES","PP  סיבי זכוכית  שחור","Active",0.03052
"02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active","MST","ALT01","00003152","NOVODUR P2H-ATBK BAYER","ABS שחור נובודור P2H-AT","Active",0.00676
"","","","","","Primary","00003153","ABS GP-22 BLACK","ABS GP-22 BLACK","Active",0.00676
"","","","","PLS","ALT01","00003152","NOVODUR P2H-ATBK BAYER","ABS שחור נובודור P2H-AT","Active",0.00676
"","","","","","Primary","00003153","ABS GP-22 BLACK","ABS GP-22 BLACK","Active",0.00676
"02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active","MST","ALT02","00000540","MB. RED KAFRIT  FOR ACETAL 3XUNI0503440","M.Bאדום לאצטל כפריתM5344","Active",0.000072
"","","","","","","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.00353
"","","","","","Primary","00000540","MB. RED KAFRIT  FOR ACETAL 3XUNI0503440","M.Bאדום לאצטל כפריתM5344","Active",0.000072
"","","","","","","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00353
"","","","","PLS","Primary","00000540","MB. RED KAFRIT  FOR ACETAL 3XUNI0503440","M.Bאדום לאצטל כפריתM5344","Active",0.000072
"","","","","","","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00353
"021000441","NOT ACTIVE-(REPLACED BY 02100044)CLIP FOR B. DRINKER FLEXIBLE TUBE INJECTED PACKED","NOT ACTIVE-מחזיק צנור גמיש מוזרק לא ארוז(","Inactive","MST","Primary","00000540","MB. RED KAFRIT  FOR ACETAL 3XUNI0503440","M.Bאדום לאצטל כפריתM5344","Active",0.0001
"","","","","","","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.0034
"","","","","PLS","Primary","00000540","MB. RED KAFRIT  FOR ACETAL 3XUNI0503440","M.Bאדום לאצטל כפריתM5344","Active",0.0001
"","","","","","","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.0034
"02100045","STRIP FOR SADDLE CONNECTOR.","רצועה לרוכב רגיל.","Active","MST","Primary","00002002","LDPE IPETHENE 320 NATURAL","LDPE  איפתן 320 טבעי","Active",0.00074
"","","","","","","00000560","MB FOR HDPE PES-50","MB לHDPE  PES-50","Active",0.00002
"","","","","PLS","Primary","00002002","LDPE IPETHENE 320 NATURAL","LDPE  איפתן 320 טבעי","Active",0.00074
"","","","","","","00000560","MB FOR HDPE PES-50","MB לHDPE  PES-50","Active",0.00002
"02100046","PLUG FOR SADDLE CONNECTOR - REGULAR.","פקק לרוכב רגיל.","Active","MST","Primary","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.000052
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.00228
"","","","","PLS","Primary","00000419","M.B. Black PPB 7","M.B שחור  7 PPB","Active",0.000052
"","","","","","","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.00228
"02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active","MST","ALT01","00003152","NOVODUR P2H-ATBK BAYER","ABS שחור נובודור P2H-AT","Active",0.00613
"","","","","","Primary","00003153","ABS GP-22 BLACK","ABS GP-22 BLACK","Active",0.00613
"","","","","PLS","ALT01","00003152","NOVODUR P2H-ATBK BAYER","ABS שחור נובודור P2H-AT","Active",0.00613
"","","","","","Primary","00003153","ABS GP-22 BLACK","ABS GP-22 BLACK","Active",0.00613
"02100048","SHUTOFF FOR B.DRINKER - RED TAB","שסגור לשוקת לשונית אדומה","Active","MST","Primary","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active",1
"","","","","","","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active",1
"","","","","","","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active",2
"","","","","","","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active",1
