"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"","","","","","","02382612","CENTRAL SHUTTER BLADE FORK-2264900-EM","מקשר תריס לצנטרפוגה EM-2264900","Active",1
"","","","","","","02382614","KNURLED AXLE D.6×30MM-2430600-EM","פין לצנטרפוגה EM-2430600","Active",1
"","","","","","","02382615","STOP COLLARS D0.7MM-2268400-EM","שייבה 7 מ""מ מעצור לקפיץ אמצע תריס EM2268400","Active",2
"","","","","","","02382616","NUT M 6×6MM - 2273400-EM","אום 6×6ממ עבה לחיבור גיר-רצועה  EM-2273400","Active",4
"","","","","","","02382617","NUTM 6×5MM THIN-2270700-EM","אום 6×5ממ דק למקשר תריס לצנטרפוגה EM-2270700","Active",2
"","","","","","","02382618","NUT M8 -2273700-EM","אום 8 ממ  EM-2273700","Active",6
"","","","","","","02382619","NUT M10 - 2274000-EM","אום 10ממ למוט מרכזי EM-2274000","Active",4
"","","","","","","02382620","WASHER D.10MM - 2275300-EM","שייבה קפיצית 10ממ לבורג מוט מרכזי EM-2275300","Active",4
"","","","","","","02382621","WASHER D.8×32MM -2277100-EM","שייבה 8×32ממ לציר צנטרפוגה EM-2277100","Active",2
"","","","","","","02382622","WASHERS 8MM - 2275700-EM","שייבה 8ממ  EM-2275700","Active",2
"","","","","","","02382623","SPRING WASHER 8MM -2275100-EM","שייבה קפיצית 8ממ EM-2275100","Active",6
"","","","","","","02382624","WASHER D.6×24MM -2277000-EM","שייבה 6×24ממ לרשת הגנה EM-2277000.","Active",9
"","","","","","","02382625","SELF TAPPING HEX SCREW  6.3×24-2278800-EM","בורג פח 6.3×24ממ EM-2278800","Active",17
"","","","","","","02382626","BOLT M 6×30MM - 2279500-EM","בורג 6×30ממ בין גיר לגלגל רצועה EM-2279500","Active",2
"","","","","","","02382627","BOLT M10×30MM - 2282000-EM","בורג 10×30ממ למוט מרכזי EM-2282000","Active",4
"","","","","","","02382628","BOLT M8×1M.6M. - 2280200-EM","בורג 8×1מ6מ למנוע-לניט הברגה EM-2280200","Active",2
"","","","","","","02382629","BOLT M8×55MM - 2278000-EM","בורג אלן 8×55ממ בין צנטרפוגה לכנפיים EM-2278000","Active",2
"","","","","","","02382630","BOLT M6×16MM - 2279100-EM","בורג 6×16ממ בין תריס מרכזי ומקשר פלסטי EM-2279100","Active",2
"","","","","","","02382631","BOLT M8×25MM - 2280600-EM","בורג 8×25ממ בין גיר לכנפיים EM-2280600","Active",4
"","","","","","","02382632","POP RIVET D.6.4×10MM -2271700-EM","ניט 6.4×10ממ למסגרת EM-2271700","Active",16
"","","","","","","02382633","THREADED BUSHES M 8 LONG -2271100-EM","ניט הברגה 8ממ ארוך למסגרת EM-2271100","Active",8
"","","","","","","02382634","NUT M25×10MM - 2273600-EM","אום 25×10ממ בין ציר למוט מרכזי EM-2273600","Active",1
"","","","","","","02382636","WASHER da 6MM -2275400-EM","שייבה 6 ממ EM-2275400","Active",4
"","","","","","","02382638","THREADED BUSHES M8 SHORT - 2270800-EM","ניט הברגה 8ממ קצרה לתושבת מנוע EM-2270800","Active",2
"","","","","","","02382639","LONG WARNING STICKER -2262500-EM","מדבקת אזהרה ארוכה EM-2262500","Active",2
"","","","","","","02382640","SHORT WARNING STICKER - 2262600-EM","מדבקת אזהרה קצרה EM-2262600","Active",1
"","","","","","","02382641","COCKADE STICKER -2262400-EM","מדבקת יצרן EM-2262400","Active",1
"","","","","","","02382663","TOP PANEL -2440900-EM36""","לוח עליון EM36""-2440900","Active",1
"","","","","","","02382664","BOTTOM PANEL -2440400-EM36""","לוח תחתון EM36""-2440400","Active",1
"","","","","","","02382665","SIDE PANEL -2434400-EM36""","לוח צד EM36""-2434499","Active",2
"","","","","","","02382666","COVER PLATES -2431100-EM36""","לוח מכסה-EM36""-2431100","Active",2
"","","","","","","02382667","SHUTTER BLADE 6/10 - 2438600-EM36""","תריסים 6/10 EM36""-2438600","Active",7
"","","","","","","02382668","SHUTTER BLADE 12/10 - 2438800-EM36""","תריסים 12/10 EM36""-2438800","Active",1
"","","","","","","02382669","PVC TIE-ROD W/10 HOLES - 2457100-EM36""","מוט חיזוק פלסטי לתריס EM36""-2457100","Active",2
"","","","","","","02382670","COMPLETE PRPOPELLER GALV.-2513900-EM36""","כנפיים מגולוונות EM36""-2513900","Active",1
"","","","","","","02382671","HUB 2472700 - EM36""","גיר EM36""-2472700","Active",1
"","","","","","","02382672","CENTRAL PULLEY 2511600 - EM36""","גלגל רצועה גדול EM36""-2511600","Active",1
"","","","","","","02382673","V-BELT A74 -2246300-EM36""","רצועה EM36""-2246300 A-74","Active",1
"","","","","","","02382674","VENTURI CONVEYOR - 2443600-EM36""","כונס אוויר EM36""-2443600","Active",1
"","","","","","","02382675","COMPLETE ELEC. MOTOR 1.0 OT 400/50 W/PULLEY-EM36""","מנוע 1.0 כ""ס EM36"" OT 400/50 עם גלגלת","Active",1
"","","","","","","02382676","COMPLETE MESH GUARD -2474900-EM36""","רשת הגנה מצד פנימי למאורר ""36 EM","Active",1
"","","","","","","02382677","CENTRIFUGAL SYSTEM SINGLESPEED -2510700 EM36""","מערכת צנטרפוגה למאוורר EM36""-2510700","Active",1
"","","","","","","02382678","PROPELLER CENTRAL SUPPORT - 2474400-EM36""","תומך מרכזי לכנפיים EM36""-2472200","Active",1
"","","","","","","02382659","RIGHT SHUTTER BEARING -2524100-EM","מיסב ימני לתריס EM-2524100","Active",7
"","","","","","","02382660","LEFT SHUTTER BEARING - 2524300-EM","מיסב שמאלי לתריס EM-2524300","Active",7
"","","","","","","02382661","RIGHT SHUTTER BEARING W/ SPRING -2524500-EM","מיסב ימני עם קפיץ לתריס EM-2524500","Active",1
"","","","","","","02382662","LEFT SHUTTER BEARING W/ SPRING -2524700-EM","מיסב שמאלי עם קפיץ לתריס EM-2524700","Active",1
"","","","","","","02382635","WATERPROOF DISTANCE -2472000-EM","מיסב יבש לציר הגיר EM-2472000","Active",1
"02382679","NOT ACTIVE- OUTER SAFETY MESH EM50 FAN KIT","NOT ACTIVE-- ערכת רשת הגנה חיצונית למאורר ""50 EM","Inactive","MST","Primary","02382602","SAFETY MESH FOR EM50 FAN","רשת הגנה למאורר ""50 EM.","Active",1
"","","","","","","02382604","METAL SQUARE FOR SCREW FOR SAFETY MESH","לוחית עם חור וכיפוף חד צדדי לרשת הגנה","Active",4
"","","","","","","02310147","SELF DRILLING SCREW 1/4""-1"" W/ WASHER","בורג קודח 1/4""-1 עם שייבה","Active",4
"","","","","PLS","Primary","02382602","SAFETY MESH FOR EM50 FAN","רשת הגנה למאורר ""50 EM.","Active",1
"","","","","","","02382604","METAL SQUARE FOR SCREW FOR SAFETY MESH","לוחית עם חור וכיפוף חד צדדי לרשת הגנה","Active",4
"","","","","","","02310147","SELF DRILLING SCREW 1/4""-1"" W/ WASHER","בורג קודח 1/4""-1 עם שייבה","Active",4
"02382680","NOT ACTIVE- OUTER SAFETY MESH EM36 FAN KIT","NOT ACTIVE-- ערכת רשת הגנה חיצונית למאורר ""36 EM","Inactive","MST","Primary","02382603","SAFETY MESH FOR EM36 FAN","רשת הגנה למאורר ""36 EM.","Active",1
"","","","","","","02382604","METAL SQUARE FOR SCREW FOR SAFETY MESH","לוחית עם חור וכיפוף חד צדדי לרשת הגנה","Active",4
"","","","","","","02310147","SELF DRILLING SCREW 1/4""-1"" W/ WASHER","בורג קודח 1/4""-1 עם שייבה","Active",4
"","","","","PLS","Primary","02382603","SAFETY MESH FOR EM36 FAN","רשת הגנה למאורר ""36 EM.","Active",1
"","","","","","","02382604","METAL SQUARE FOR SCREW FOR SAFETY MESH","לוחית עם חור וכיפוף חד צדדי לרשת הגנה","Active",4
"","","","","","","02310147","SELF DRILLING SCREW 1/4""-1"" W/ WASHER","בורג קודח 1/4""-1 עם שייבה","Active",4
"02382681","NOT ACTIVE-EM50"" 1.5HP W/SAFETY MESH COM","NOT ACTIVE-- מאורר 1.5כ""ס 3פאזי ""EM50 עם רשת הגנה קומ","Inactive","MST","Primary","02382600","EXHAUST FAN 50"" 1.5HP 3PHASE  220/380V 50HZ EM50 COM","מאורר ""50 1.5כ""ס 3פאזי 220/380V 50HZ EM50 קומ.","Active",1
"","","","","","","02382679","NOT ACTIVE- OUTER SAFETY MESH EM50 FAN KIT","NOT ACTIVE-- ערכת רשת הגנה חיצונית למאורר ""50 EM","Inactive",1
"","","","","PLS","Primary","02382600","EXHAUST FAN 50"" 1.5HP 3PHASE  220/380V 50HZ EM50 COM","מאורר ""50 1.5כ""ס 3פאזי 220/380V 50HZ EM50 קומ.","Active",1
"","","","","","","02382679","NOT ACTIVE- OUTER SAFETY MESH EM50 FAN KIT","NOT ACTIVE-- ערכת רשת הגנה חיצונית למאורר ""50 EM","Inactive",1
"02382682","NOT ACTIVE- EM36"" 1.0HP W/SAFETY MESH COM","NOT ACTIVE-- מאורר 1כ""ס 3פאזי ""EM36 עם רשת הגנה קומ","Inactive","MST","Primary","02382601","EXHAUST FAN 36"" 1HP 3PHASE  220/380V 50HZ EM36 COM","מאורר ""36 1כ""ס 3פאזי 220/380V 50HZ EM36 קומ.","Active",1
"","","","","","","02382680","NOT ACTIVE- OUTER SAFETY MESH EM36 FAN KIT","NOT ACTIVE-- ערכת רשת הגנה חיצונית למאורר ""36 EM","Inactive",1
"","","","","PLS","Primary","02382601","EXHAUST FAN 36"" 1HP 3PHASE  220/380V 50HZ EM36 COM","מאורר ""36 1כ""ס 3פאזי 220/380V 50HZ EM36 קומ.","Active",1
"","","","","","","02382680","NOT ACTIVE- OUTER SAFETY MESH EM36 FAN KIT","NOT ACTIVE-- ערכת רשת הגנה חיצונית למאורר ""36 EM","Inactive",1
"02383031","NOT ACTIVE- AC2000 BIRD SCALE HANGING PLATFORM (ROTEM P-RBS-1H-30M-V2)","NOT ACTIVE-- AC2000 BIRD SCALE HANGING PLATFORM (ROTEM P-RBS-1H-30M-V2)","Inactive","MST","Primary","02383091","HANGIN BIRD SCALE METAL PLATE+POLE ONLY (ROTEM P-RBS-METAL-H)","HANGIN BIRD SCALE METAL PLATE+POLE ONLY (ROTEM P-RBS-METAL-H)","Active",1
"","","","","","","02383092","HANGING BIRD SCALE ELETRIC PANEL WITH LOAD CELL","HANGING BIRD SCALE ELETRIC PANEL WITH LOAD CELL","Active",1
"02383057","RECEIVER REMOTE ALARM SET (HOUSE 1-4) (433MHz)","RECEIVER REMOTE ALARM SET (HOUSE 1-4) (433MHz)","Active","MST","Primary","02383007","RECEIVER CONTROLLER REMOTE ALARM (HOUSE 1-4) (433MHz)","RECEIVER CONTROLLER REMOTE ALARM (HOUSE 1-4) (433MHz)","Active",1
"","","","","","","02383058","RECEIVER REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","RECEIVER REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"","","","","","","02383059","RECEIVER REMOTE ALARME CABLE","RECEIVER REMOTE ALARME CABLE","Active",1
"02383060","COMMUNICATOR REMOTE ALARM SET (HOUSE1)","COMMUNICATOR REMOTE ALARM SET (HOUSE1)","Active","MST","Primary","02383013","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE1)","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE1)","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"02383063","COMMUNICATOR REMOTE ALARM SET (HOUSE2)","COMMUNICATOR REMOTE ALARM SET (HOUSE2)","Active","MST","Primary","02383064","COMMUNICATOR REMOTE ALARM (HOUSE2)","COMMUNICATOR REMOTE ALARM (HOUSE2)","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"02383065","COMMUNICATOR REMOTE ALARM SET (HOUSE3)","COMMUNICATOR REMOTE ALARM SET (HOUSE3)","Active","MST","Primary","02383066","COMMUNICATOR REMOTE ALARM (HOUSE3)","COMMUNICATOR REMOTE ALARM (HOUSE3)","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"02383067","COMMUNICATOR REMOTE ALARM SET (HOUSE4)","COMMUNICATOR REMOTE ALARM SET (HOUSE4)","Active","MST","Primary","02383068","COMMUNICATOR REMOTE ALARM (HOUSE4)","COMMUNICATOR REMOTE ALARM (HOUSE4)","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"02383071","COMMUNICATION PC SET FOR REC-8R","COMMUNICATION PC SET FOR REC-8R","Active","MST","Primary","02383072","SOFTWARE POULTRYNET COMMUNICATION REC-8R","SOFTWARE POULTRYNET COMMUNICATION REC-8R","Active",1
"","","","","","","02383029","CABLE RS-232 DB-9","CABLE RS-232 DB-9","Active",1
"","","","","","","02383037","CABLE CONVERTER RS-232/USB			","CABLE CONVERTER RS-232/USB			","Active",1
"02383075","RECEIVER REMOTE ALARM SET (HOUSE 5-8) (433MHz)","RECEIVER REMOTE ALARM SET (HOUSE 5-8) (433MHz)","Active","MST","Primary","02383076","RECEIVER REMOTE ALARM CONTROLLER (HOUSE 5-8) (433MHz)","RECEIVER REMOTE ALARM CONTROLLER (HOUSE 5-8) (433MHz)","Active",1
"","","","","","","02383077","RECEIVER REMOTE ALARM ANTENNA (HOUSE 5-8)","RECEIVER REMOTE ALARM ANTENNA (HOUSE 5-8)","Active",1
"","","","","","","02383059","RECEIVER REMOTE ALARME CABLE","RECEIVER REMOTE ALARME CABLE","Active",1
"02383078","COMMUNICATOR REMOTE ALARM SET (HOUSE5)","COMMUNICATOR REMOTE ALARM SET (HOUSE5)","Active","MST","Primary","02383079","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE5)","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE5)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"02383081","COMMUNICATOR REMOTE ALARM SET (HOUSE6)","COMMUNICATOR REMOTE ALARM SET (HOUSE6)","Active","MST","Primary","02383082","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE6)","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE6)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"02383083","COMMUNICATOR REMOTE ALARM SET (HOUSE7)","COMMUNICATOR REMOTE ALARM SET (HOUSE7)","Active","MST","Primary","02383084","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE7)","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE7)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"02383085","COMMUNICATOR REMOTE ALARM SET (HOUSE8)","COMMUNICATOR REMOTE ALARM SET (HOUSE8)","Active","MST","Primary","02383086","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE8)","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE8)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"","","","","","","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"02383095","COMMUNICATOR REMOTE ALARM SET (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM SET (HOUSE 1-8) (433MHz)","Active","MST","Primary","02383061","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","COMMUNICATOR REMOTE ALARM ANTENNA (HOUSE 1-8) (433MHz)","Active",1
"","","","","","","02383062","COMMUNICATOR REMOTE ALARM CABLE","COMMUNICATOR REMOTE ALARM CABLE","Active",1
"","","","","","","02383096","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE1-8) (433MHz)","COMMUNICATOR REMOTE ALARM CONTROLLER (HOUSE1-8) (433MHz)","Active",1
"02383102","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-PT-PLA-230-232-2TS-1RH-M) (PORTUGUESE)","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-PT-PLA-230-232-2TS-1RH-M) (PORTUGUESE)","Active","MST","Primary","02383114","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-PT-PLA-230-232-2TS-M) (PORTUGUESE)","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-PT-PLA-230-232-2TS-M) (PORTUGUESE)","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383103","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-EN-PLA-230-232-2TS-1RH-M) (ENGLISH)","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-EN-PLA-230-232-2TS-1RH-M) (ENGLISH)","Active","MST","Primary","02383115","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-EN-PLA-230-232-2TS-M) (ENGLISH)","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-EN-PLA-230-232-2TS-M) (ENGLISH)","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383104","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-ES-PLA-230-232-2TS-1RH-M) (SPANISH)","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-ES-PLA-230-232-2TS-1RH-M) (SPANISH)","Active","MST","Primary","02383116","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-ES-PLA-230-232-2TS-M) (SPANISH)","POUTRY CONTROLLER AC2000PRO (AC2-BRO-PRO-ES-PLA-230-232-2TS-M) (SPANISH)","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383118","UPDATE SOFTWARE COMMUNICATION FOR AC-2000PRO (SPANISH) KIT","UPDATE SOFTWARE COMMUNICATION FOR AC-2000PRO (SPANISH) KIT","Active","MST","Primary","02383176","LABEL STICKER AC2000PRO 55X35MM (SPANISH)","LABEL STICKER AC2000PRO 55X35MM (SPANISH)","Active",1
"","","","","","","02383123","CHIP EPROM ATMEL-AT27C512 (A-EPROM)","CHIP EPROM ATMEL-AT27C512 (A-EPROM)","Active",1
"02383124","PLATINUM INPUT / OUTPUT CARD BUS (ROTEM C-PP-RIO11)		","PLATINUM INPUT / OUTPUT CARD BUS (ROTEM C-PP-RIO11)		","Active","MST","Primary","02383122","LABEL STICKER AC2000PRO 55X35MM","LABEL STICKER AC2000PRO 55X35MM","Active",1
"","","","","","","02383123","CHIP EPROM ATMEL-AT27C512 (A-EPROM)","CHIP EPROM ATMEL-AT27C512 (A-EPROM)","Active",1
"02383125","PLATINUM JUNIOR CONTROLER XL (900-05-00002) (PORTUGUESE)	","PLATINUM JUNIOR CONTROLER XL (900-05-00002) (PORTUGUESE)	","Active","MST","Primary","02383126","PLATINUM JUNIOR CONTROLER XL (900-05-00004) (PORTUGUESE)	","PLATINUM JUNIOR CONTROLER XL (900-05-00004) (PORTUGUESE)	","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383127","PLATINUM JUNIOR CONTROLER XL (900-05-00005) (ESPANISH)	","PLATINUM JUNIOR CONTROLER XL (900-05-00005) (ESPANISH)	","Active","MST","Primary","02383128","PLATINUM JUNIOR CONTROLER XL (900-05-00006) (ESPANISH)	","PLATINUM JUNIOR CONTROLER XL (900-05-00006) (ESPANISH)	","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383129","PLATINUM JUNIOR CONTROLER XL (900-05-00007) (ENGLISH)","PLATINUM JUNIOR CONTROLER XL (900-05-00007) (ENGLISH)","Active","MST","Primary","02383130","PLATINUM JUNIOR CONTROLER XL (900-05-00008) (ENGLISH)	","PLATINUM JUNIOR CONTROLER XL (900-05-00008) (ENGLISH)	","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383131","PLATINUM JUNIOR CONTROLER XL (900-04-00001) (PORTUGUESE)	","PLATINUM JUNIOR CONTROLER XL (900-04-00001) (PORTUGUESE)	","Active","MST","Primary","02383132","PLATINUM JUNIOR CONTROLER XL (900-04-00002) (PORTUGUES)	","PLATINUM JUNIOR CONTROLER XL (900-04-00002) (PORTUGUES)	","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383133","PLATINUM JUNIOR CONTROLER XL (900-04-00003) (ESPANISH)	","PLATINUM JUNIOR CONTROLER XL (900-04-00003) (ESPANISH)	","Active","MST","Primary","02383134","PLATINUM JUNIOR CONTROLER XL (900-04-00004) (ESPANISH)","PLATINUM JUNIOR CONTROLER XL (900-04-00004) (ESPANISH)","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383135","PLATINUM JUNIOR CONTROLER XL (900-04-00005) (ENGLISH)	","PLATINUM JUNIOR CONTROLER XL (900-04-00005) (ENGLISH)	","Active","MST","Primary","02383136","PLATINUM JUNIOR CONTROLER XL (900-04-00006) (ENGLISH)	","PLATINUM JUNIOR CONTROLER XL (900-04-00006) (ENGLISH)	","Active",1
"","","","","","","02383406","HUMIDITY SENSOR  PLUS (P-RHS-10PL)","גשש לחות  P-RHS-10PL","Active",1
"02383137","PLATINUM 5 NORMALLY OPEN SET 10A (ROTEM P-PP-NO-S-10A)	","PLATINUM 5 NORMALLY OPEN SET 10A (ROTEM P-PP-NO-S-10A)	","Active","MST","Primary","02383138","PLATINUM NORMALLY OPEN RELAY 10A CARD (ROTEM C-PP-NO-RC-10A)	","PLATINUM NORMALLY OPEN RELAY 10A CARD (ROTEM C-PP-NO-RC-10A)	","Active",1
"","","","","","","02383139","PLATINUM NORMALLY OPEN SWITCH CARD (ROTEM C-PP-NO-SC)","PLATINUM NORMALLY OPEN SWITCH CARD (ROTEM C-PP-NO-SC)","Active",1
"02383140","PLATINUM EMERGENCY CARD ASSEMBLED 10A 230V	","PLATINUM EMERGENCY CARD ASSEMBLED 10A 230V	","Active","MST","Primary","02383141","PLATINUM EMERGENCY CARD ASSEMBLED 10A (ROTEM C-PP-EM-RC-10A)	","PLATINUM EMERGENCY CARD ASSEMBLED 10A (ROTEM C-PP-EM-RC-10A)	","Active",1
"","","","","","","02383142","PLATINUM W/SWITCHES EMERGENCY CARD ASSEMBLED (ROTEM C-PP-EM-SC)	","PLATINUM W/SWITCHES EMERGENCY CARD ASSEMBLED (ROTEM C-PP-EM-SC)	","Active",1
"","","","","","","02383407","TEMPERATURE SENSOR TYPE 2 BLACK (P-RTS-2)","גשש טמפרטורה מסוג 2 שחור P-RTS-2","Active",1
"02383143","PLATINUM WINCH CARD ASSEMBLED 10A 230V (ROTEM P-PP-WC-S-10A)	","PLATINUM WINCH CARD ASSEMBLED 10A 230V (ROTEM P-PP-WC-S-10A)	","Active","MST","Primary","02383144","PLATINUM WINCH CARD (ROTEM C-PP-WC-RC-10A)	","PLATINUM WINCH CARD (ROTEM C-PP-WC-RC-10A)	","Active",1
"","","","","","","02383145","PLATINUM SWITCH CARD (ROTEM C-PP-WC-SC)","PLATINUM SWITCH CARD (ROTEM C-PP-WC-SC)","Active",1
"02383148","PLATINUM XL BIRD SCALE CARD (ROTEM C-PP-BIRD-S-V2) SET","PLATINUM XL BIRD SCALE CARD (ROTEM C-PP-BIRD-S-V2) SET","Active","MST","Primary","02383431","PLATINUM XL BIRD SCALE CARD (ROTEM C-PP-BIRD-RLCC)","PLATINUM XL BIRD SCALE CARD (ROTEM C-PP-BIRD-RLCC)","Inactive",1
"","","","","","","02383432","PLATINUM XL WEIGHING POWER SUPPLY 230V (ROTEM A-PP-BIRD-PS-V2)","PLATINUM XL WEIGHING POWER SUPPLY 230V (ROTEM A-PP-BIRD-PS-V2)","Inactive",1
"02383149","PLATINUM XL CARD (ROTEM C-PP-SILO-S-V2)","PLATINUM XL CARD (ROTEM C-PP-SILO-S-V2)","Active","MST","Primary","02383148","PLATINUM XL BIRD SCALE CARD (ROTEM C-PP-BIRD-S-V2) SET","PLATINUM XL BIRD SCALE CARD (ROTEM C-PP-BIRD-S-V2) SET","Active",1
"","","","","","","02383177","SOFTWARE SILO PLUG PLATINUM XL (ROTEM C-PP-SDP)","SOFTWARE SILO PLUG PLATINUM XL (ROTEM C-PP-SDP)","Active",1
"02383178","ANALOGIC THERMOSTAT NA/NF 16A-250V 60HZ 0-40°C FOR ELECTRIC PANEL SET","ANALOGIC THERMOSTAT NA/NF 16A-250V 60HZ 0-40°C FOR ELECTRIC PANEL SET","Active","MST","Primary","02383179","ANALOGIC THERMOSTAT 1NA/NF 16A-250V 60HZ  TS040S (TS040S SPDT 066.00)","ANALOGIC THERMOSTAT 1NA/NF 16A-250V 60HZ  TS040S (TS040S SPDT 066.00)","Active",1
"","","","","","","02383180","PLASTIC BOX 120X80X50MM FOR ANALOGIC THERMOSTAT SET","PLASTIC BOX 120X80X50MM FOR ANALOGIC THERMOSTAT SET","Active",1
"","","","","","","02360160","PLASTIC BUSHING 1/4""","בושינג פלסטי ""1/4","Active",2
"","","","","","","02383181","LABEL STICKER ANALOGIC THERMOSTAT SET (120X80MM)","LABEL STICKER ANALOGIC THERMOSTAT SET (120X80MM)","Active",1
"","","","","","","02383182","ROUND HEAD SCREW W/SLOT M4X5 BICROM.","ROUND HEAD SCREW W/SLOT M4X5 BICROM.","Active",2
"","","","","","","02383183","TEMPERATURE SCALE 0-40°C FOR ANALOGIC THERMOSTAT SET","TEMPERATURE SCALE 0-40°C FOR ANALOGIC THERMOSTAT SET","Active",1
